Price,Close,High,Low,Open,Volume
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
Date,,,,,
16-03-2023,16985.59961,17062.44922,16850.15039,16994.65039,349800
17-03-2023,17100.05078,17145.80078,16958.15039,17111.80078,408100
20-03-2023,16988.40039,17066.59961,16828.34961,17066.59961,241800
21-03-2023,17107.5,17127.69922,17016,17060.40039,246700
22-03-2023,17151.90039,17207.25,17107.84961,17177.44922,0
23-03-2023,17076.90039,17205.40039,17045.30078,17097.40039,219200
24-03-2023,16945.05078,17109.44922,16917.34961,17076.19922,228000
27-03-2023,16985.69922,17091,16918.55078,16984.30078,218400
28-03-2023,16951.69922,17061.75,16913.75,17031.75,238800
29-03-2023,17080.69922,17126.15039,16940.59961,16977.30078,345900
31-03-2023,17359.75,17381.59961,17204.65039,17210.34961,263900
03-04-2023,17398.05078,17428.05078,17312.75,17427.94922,230200
05-04-2023,17557.05078,17570.55078,17402.69922,17422.30078,248300
06-04-2023,17599.15039,17638.69922,17502.84961,17533.84961,242700
10-04-2023,17624.05078,17694.09961,17597.94922,17634.90039,254800
11-04-2023,17722.30078,17748.75,17655.15039,17704.80078,304300
12-04-2023,17812.40039,17825.75,17717.25,17759.55078,232800
13-04-2023,17828,17842.15039,17729.65039,17807.30078,285800
17-04-2023,17706.84961,17863,17574.05078,17863,357400
18-04-2023,17660.15039,17766.59961,17610.19922,17766.59961,258900
19-04-2023,17618.75,17666.15039,17579.84961,17653.34961,281500
20-04-2023,17624.44922,17684.44922,17584.34961,17638.59961,215100
21-04-2023,17624.05078,17663.19922,17553.94922,17639.75,230200
24-04-2023,17743.40039,17754.5,17612.5,17707.55078,255700
25-04-2023,17769.25,17807.44922,17716.84961,17761.55078,297400
26-04-2023,17813.59961,17827.75,17711.19922,17767.30078,233000
27-04-2023,17915.05078,17931.59961,17797.90039,17813.09961,241400
28-04-2023,18065,18089.15039,17885.30078,17950.40039,290300
02-05-2023,18147.65039,18180.25,18101.75,18124.80078,265200
03-05-2023,18089.84961,18116.34961,18042.40039,18113.80078,226200
04-05-2023,18255.80078,18267.44922,18066.69922,18081,226600
05-05-2023,18069,18216.94922,18055.44922,18117.30078,239700
08-05-2023,18264.40039,18286.94922,18100.30078,18120.59961,228400
